Name,City,Country Code,Days,Start,End
plan b small club sydney,Sydney,AU,2,1700,0100
plan b small club sydney,Sydney,AU,3,1700,0200
plan b small club sydney,Sydney,AU,4,1700,0500
plan b small club sydney,Sydney,AU,5,2000,0500
