Name,City,Country Code,Days,Start,End
stacks taverna sydney,Sydney,AU,0,1130,1500
stacks taverna sydney,Sydney,AU,0,1730,2300
stacks taverna sydney,Sydney,AU,1,1130,1500
stacks taverna sydney,Sydney,AU,1,1730,2300
stacks taverna sydney,Sydney,AU,2,1130,1500
stacks taverna sydney,Sydney,AU,2,1730,2300
stacks taverna sydney,Sydney,AU,3,1130,1500
stacks taverna sydney,Sydney,AU,3,1730,2300
stacks taverna sydney,Sydney,AU,4,1130,1500
stacks taverna sydney,Sydney,AU,4,1730,0000
stacks taverna sydney,Sydney,AU,5,1130,1500
stacks taverna sydney,Sydney,AU,5,1730,0000
stacks taverna sydney,Sydney,AU,6,1130,1500
stacks taverna sydney,Sydney,AU,6,1730,2300
