Name,City,Country Code,Days,Start,End
royal on the park brisbane,Brisbane,AU,0,0000,0000
royal on the park brisbane,Brisbane,AU,1,0000,0000
royal on the park brisbane,Brisbane,AU,2,0000,0000
royal on the park brisbane,Brisbane,AU,3,0000,0000
royal on the park brisbane,Brisbane,AU,4,0000,0000
royal on the park brisbane,Brisbane,AU,5,0000,0000
royal on the park brisbane,Brisbane,AU,6,0000,0000
