Job Family,Total Benefits,Total Compensation,Percentage
Administrative Secretarial,32813.905,117848.85,0.2784406042146359
Administrative-DPW/PUC,45940.59375,172025.99625,0.2670561121659541
Administrative-Labor & Trades,35314.78125,144638.27875,0.24415930246957535
Agriculture & Horticulture,25962.72983606557,83638.87918032786,0.31041460730349063
Airport Operation,33642.649999999994,119243.73612903226,0.28213347796814814
Appraisal & Taxation,24736.67866666667,82352.69233333333,0.30037486287080595
"Budget, Admn & Stats Analysis",28671.227027027027,98321.08545945947,0.2916081214222251
"Clerical, Secretarial & Steno",21042.58965408805,64766.09182389937,0.3249013343479699
Community Development,30620.032222222228,103223.99933333333,0.29663675521177313
Computer Operatns & Repro Svcs,19250.710967741932,62560.62225806452,0.30771290746329455
Construction Inspection,35130.175,125763.49785714285,0.27933522523288146
Construction Project Mgmt,42570.5775,162453.93375,0.26204707092849944
Correction & Detention,32842.82329268292,137394.84835365854,0.23903969971380942
Dietary & Food,22449.114444444444,72231.8886666667,0.31079229491065735
Emergency Services,26997.836666666666,97176.7,0.27782211853938926
Energy & Environment,31775.02088235294,111860.63147058824,0.28405901580045717
Fire Services,38671.69732342008,186300.43301115243,0.20757706623851532
Health & Sanitation Inspection,35951.0796,125543.45199999999,0.28636363766706047
Hospital Administration,28784.609166666665,90940.30583333333,0.3165220185142145
Housekeeping & Laundry,24913.951764705882,75955.14796380092,0.3280087318976654
Human Services,27931.529710982657,93675.18959537572,0.2981742533068916
Information Systems,33452.39992753623,120770.03369565216,0.27699255273736456
Journeyman Trade,32278.766717557253,119287.9507633588,0.2705953661790307
"Lab, Pharmacy & Med Techs",31607.445247524756,113865.57316831684,0.27758561581034175
Legal & Court,38319.89804347826,141998.10695652172,0.26986203453551244
Library,22713.25462809917,72360.81388429753,0.31388887726465997
Management,42465.275673076925,146869.99024038462,0.28913514328947176
Med Therapy & Auxiliary,26049.54,86810.6845,0.3000729708564848
Medical & Dental,39601.15355555555,165497.77155555558,0.23928511655072002
Museum & Cultural Affairs,17918.215,57565.87857142858,0.31126451023876617
Nursing,25525.432550432273,104120.23925072046,0.24515341814541258
Park & Zoo,14248.822666666667,45438.851333333325,0.3135823694604252
"Payroll, Billing & Accounting",26384.31432432433,85963.18871621622,0.3069257285397459
Personnel,21301.52093220339,70951.28847457629,0.3002274009419334
Police Services,30331.16025171625,146954.6205263158,0.2063981393921855
Port Operation,26291.96,88352.915,0.2975788631308882
Probation & Parole,30534.87428571429,116763.83,0.26150970112674693
Professional Engineering,35569.28452513967,128222.86988826816,0.27740203098038835
Property Administration,40306.884999999995,142342.845,0.2831676225102849
Protection & Apprehension,19833.761885714288,69220.1412,0.28653165887668386
Pub Relations & Spec Assts,25440.26692307692,84162.33846153846,0.3022761414204636
Public Health,37575.23814814814,135835.17222222223,0.2766237752227839
Public Safety Inspection,41328.517199999995,154062.6028,0.268257944815145
Public Service Aide,5430.430087209303,15356.11023255814,0.3536331795597341
Purchasing & Storekeeping,26025.234482758617,82718.14689655173,0.3146254535332625
Recreation,5007.315654761905,15925.404880952381,0.314423130350106
Revenue,24697.416999999998,76971.41900000001,0.32086477449506284
SF Redevelopment Agency,25974.254999999997,87996.375,0.2951741477987019
SF Superior Court,31796.97278481012,104037.2411392405,0.30563068028932017
Semi-Skilled & General Labor,22436.315698924736,71389.0817204301,0.3142821725426946
Skilled Labor,29554.79636363636,102309.02795454547,0.28887769686138703
Street Transit,31200.510283333337,103061.87403333334,0.3027357165390001
Sub-Professional Engineering,14837.990638297872,50858.73031914893,0.2917491361893316
Supervisory-Labor & Trade,35735.06430555556,138386.0377777778,0.2582273824685943
