,Awards,Awards_Won,Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_won,Oscar_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won
1650,1 nomination.,0,1,0,0,0,0,0,0,0,0
1651,7 wins & 3 nominations.,7,3,0,0,0,0,0,0,0,0
1652,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
1653,1 nomination.,0,1,0,0,0,0,0,0,0,0
1654,Nominated for 1 Oscar. Another 5 wins & 15 nominations.,5,16,0,1,0,0,0,0,0,0
1655,2 wins.,2,0,0,0,0,0,0,0,0,0
1656,1 win.,1,0,0,0,0,0,0,0,0,0
1657,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
1658,Nominated for 4 Primetime Emmys. Another 1 win & 1 nomination.,1,5,4,0,0,0,0,0,0,0
1659,1 nomination.,0,1,0,0,0,0,0,0,0,0
1660,2 nominations.,0,2,0,0,0,0,0,0,0,0
1661,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
1662,1 nomination.,0,1,0,0,0,0,0,0,0,0
1663,4 wins & 12 nominations.,4,12,0,0,0,0,0,0,0,0
1664,2 wins.,2,0,0,0,0,0,0,0,0,0
1665,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
1666,1 win.,1,0,0,0,0,0,0,0,0,0
1667,Nominated for 1 Primetime Emmy. Another 1 win & 5 nominations.,1,6,1,0,0,0,0,0,0,0
1668,1 nomination.,0,1,0,0,0,0,0,0,0,0
1669,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
1670,7 wins & 6 nominations.,7,6,0,0,0,0,0,0,0,0
1671,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
1672,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1673,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
1674,3 wins & 9 nominations.,3,9,0,0,0,0,0,0,0,0
1675,9 wins & 3 nominations.,9,3,0,0,0,0,0,0,0,0
1676,1 nomination.,0,1,0,0,0,0,0,0,0,0
1677,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
1678,4 wins.,4,0,0,0,0,0,0,0,0,0
1679,2 nominations.,0,2,0,0,0,0,0,0,0,0
1680,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
1681,1 nomination.,0,1,0,0,0,0,0,0,0,0
1682,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
1683,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
1684,1 nomination.,0,1,0,0,0,0,0,0,0,0
1685,3 wins.,3,0,0,0,0,0,0,0,0,0
1686,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
1687,1 win.,1,0,0,0,0,0,0,0,0,0
1688,6 wins & 4 nominations.,6,4,0,0,0,0,0,0,0,0
1689,2 wins.,2,0,0,0,0,0,0,0,0,0
1690,1 nomination.,0,1,0,0,0,0,0,0,0,0
1691,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
1692,2 nominations.,0,2,0,0,0,0,0,0,0,0
1693,1 nomination.,0,1,0,0,0,0,0,0,0,0
1694,1 nomination.,0,1,0,0,0,0,0,0,0,0
1695,5 wins.,5,0,0,0,0,0,0,0,0,0
1696,1 nomination.,0,1,0,0,0,0,0,0,0,0
1697,5 wins & 7 nominations.,5,7,0,0,0,0,0,0,0,0
1698,1 nomination.,0,1,0,0,0,0,0,0,0,0
1699,Nominated for 2 Primetime Emmys. Another 3 nominations.,0,5,2,0,0,0,0,0,0,0
1700,1 nomination.,0,1,0,0,0,0,0,0,0,0
1701,4 wins.,4,0,0,0,0,0,0,0,0,0
1702,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1703,1 nomination.,0,1,0,0,0,0,0,0,0,0
1704,1 nomination.,0,1,0,0,0,0,0,0,0,0
1705,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
1706,2 nominations.,0,2,0,0,0,0,0,0,0,0
1707,1 nomination.,0,1,0,0,0,0,0,0,0,0
1708,1 win.,1,0,0,0,0,0,0,0,0,0
1709,1 nomination.,0,1,0,0,0,0,0,0,0,0
1710,1 nomination.,0,1,0,0,0,0,0,0,0,0
1711,1 nomination.,0,1,0,0,0,0,0,0,0,0
1712,Nominated for 1 Primetime Emmy. Another 1 win.,1,1,1,0,0,0,0,0,0,0
1713,1 win.,1,0,0,0,0,0,0,0,0,0
1714,2 wins.,2,0,0,0,0,0,0,0,0,0
1715,6 wins & 6 nominations.,6,6,0,0,0,0,0,0,0,0
1716,4 nominations.,0,4,0,0,0,0,0,0,0,0
1717,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1718,2 nominations.,0,2,0,0,0,0,0,0,0,0
1719,1 nomination.,0,1,0,0,0,0,0,0,0,0
1720,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
1721,1 nomination.,0,1,0,0,0,0,0,0,0,0
1722,1 nomination.,0,1,0,0,0,0,0,0,0,0
1723,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
1724,5 wins & 13 nominations.,5,13,0,0,0,0,0,0,0,0
1725,1 nomination.,0,1,0,0,0,0,0,0,0,0
1726,1 nomination.,0,1,0,0,0,0,0,0,0,0
1727,1 nomination.,0,1,0,0,0,0,0,0,0,0
1728,1 win.,1,0,0,0,0,0,0,0,0,0
1729,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
1730,1 nomination.,0,1,0,0,0,0,0,0,0,0
1731,1 nomination.,0,1,0,0,0,0,0,0,0,0
1732,2 nominations.,0,2,0,0,0,0,0,0,0,0
1733,3 wins & 22 nominations.,3,22,0,0,0,0,0,0,0,0
1734,1 nomination.,0,1,0,0,0,0,0,0,0,0
1735,1 win.,1,0,0,0,0,0,0,0,0,0
1736,1 nomination.,0,1,0,0,0,0,0,0,0,0
1737,2 wins.,2,0,0,0,0,0,0,0,0,0
1738,1 nomination.,0,1,0,0,0,0,0,0,0,0
1739,1 nomination.,0,1,0,0,0,0,0,0,0,0
1740,2 nominations.,0,2,0,0,0,0,0,0,0,0
1741,1 win.,1,0,0,0,0,0,0,0,0,0
1742,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
1743,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
1744,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
1745,1 nomination.,0,1,0,0,0,0,0,0,0,0
1746,4 nominations.,0,4,0,0,0,0,0,0,0,0
1747,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
1748,2 nominations.,0,2,0,0,0,0,0,0,0,0
1749,1 nomination.,0,1,0,0,0,0,0,0,0,0
1750,1 nomination.,0,1,0,0,0,0,0,0,0,0
1751,1 nomination.,0,1,0,0,0,0,0,0,0,0
1752,1 win.,1,0,0,0,0,0,0,0,0,0
1753,Nominated for 1 Oscar. Another 1 win & 3 nominations.,1,4,0,1,0,0,0,0,0,0
