,Awards,Awards_Won,Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_won,Oscar_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won
126,1 nomination.,0,1,0,0,0,0,0,0,0,0
127,1 nomination.,0,1,0,0,0,0,0,0,0,0
128,8 wins & 10 nominations.,8,10,0,0,0,0,0,0,0,0
129,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
130,2 wins & 8 nominations.,2,8,0,0,0,0,0,0,0,0
131,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
132,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
133,1 nomination.,0,1,0,0,0,0,0,0,0,0
134,6 wins & 2 nominations.,6,2,0,0,0,0,0,0,0,0
135,1 nomination.,0,1,0,0,0,0,0,0,0,0
136,1 nomination.,0,1,0,0,0,0,0,0,0,0
137,3 nominations.,0,3,0,0,0,0,0,0,0,0
138,14 wins & 17 nominations.,14,17,0,0,0,0,0,0,0,0
139,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
140,2 nominations.,0,2,0,0,0,0,0,0,0,0
141,1 nomination.,0,1,0,0,0,0,0,0,0,0
142,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0,0
143,1 win.,1,0,0,0,0,0,0,0,0,0
144,1 win.,1,0,0,0,0,0,0,0,0,0
145,1 nomination.,0,1,0,0,0,0,0,0,0,0
146,1 nomination.,0,1,0,0,0,0,0,0,0,0
147,13 wins & 7 nominations.,13,7,0,0,0,0,0,0,0,0
148,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
149,1 win.,1,0,0,0,0,0,0,0,0,0
150,1 nomination.,0,1,0,0,0,0,0,0,0,0
151,3 nominations.,0,3,0,0,0,0,0,0,0,0
152,3 nominations.,0,3,0,0,0,0,0,0,0,0
153,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
154,2 wins.,2,0,0,0,0,0,0,0,0,0
155,1 nomination.,0,1,0,0,0,0,0,0,0,0
156,1 win.,1,0,0,0,0,0,0,0,0,0
157,2 nominations.,0,2,0,0,0,0,0,0,0,0
158,1 win & 15 nominations.,1,15,0,0,0,0,0,0,0,0
159,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
160,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
161,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
162,1 nomination.,0,1,0,0,0,0,0,0,0,0
163,5 nominations.,0,5,0,0,0,0,0,0,0,0
164,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
165,6 wins & 6 nominations.,6,6,0,0,0,0,0,0,0,0
166,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
167,1 win.,1,0,0,0,0,0,0,0,0,0
168,1 nomination.,0,1,0,0,0,0,0,0,0,0
169,1 win.,1,0,0,0,0,0,0,0,0,0
170,1 nomination.,0,1,0,0,0,0,0,0,0,0
171,4 nominations.,0,4,0,0,0,0,0,0,0,0
172,1 nomination.,0,1,0,0,0,0,0,0,0,0
173,1 nomination.,0,1,0,0,0,0,0,0,0,0
174,1 nomination.,0,1,0,0,0,0,0,0,0,0
175,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
176,1 win.,1,0,0,0,0,0,0,0,0,0
177,1 nomination.,0,1,0,0,0,0,0,0,0,0
178,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
179,1 win.,1,0,0,0,0,0,0,0,0,0
180,Nominated for 1 Oscar. Another 25 wins & 51 nominations.,25,52,0,1,0,0,0,0,0,0
181,1 nomination.,0,1,0,0,0,0,0,0,0,0
182,8 wins & 20 nominations.,8,20,0,0,0,0,0,0,0,0
183,2 nominations.,0,2,0,0,0,0,0,0,0,0
184,4 nominations.,0,4,0,0,0,0,0,0,0,0
185,5 wins & 12 nominations.,5,12,0,0,0,0,0,0,0,0
186,3 wins.,3,0,0,0,0,0,0,0,0,0
187,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
188,7 wins & 5 nominations.,7,5,0,0,0,0,0,0,0,0
189,4 nominations.,0,4,0,0,0,0,0,0,0,0
190,2 nominations.,0,2,0,0,0,0,0,0,0,0
191,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
192,1 win & 14 nominations.,1,14,0,0,0,0,0,0,0,0
193,Nominated for 3 Oscars. Another 13 wins & 40 nominations.,13,43,0,3,0,0,0,0,0,0
194,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
195,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
196,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0
197,8 wins & 6 nominations.,8,6,0,0,0,0,0,0,0,0
198,1 nomination.,0,1,0,0,0,0,0,0,0,0
199,8 wins & 17 nominations.,8,17,0,0,0,0,0,0,0,0
200,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
201,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
202,4 wins & 4 nominations.,4,4,0,0,0,0,0,0,0,0
203,5 wins.,5,0,0,0,0,0,0,0,0,0
204,27 wins & 31 nominations.,27,31,0,0,0,0,0,0,0,0
205,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
206,1 nomination.,0,1,0,0,0,0,0,0,0,0
207,3 wins.,3,0,0,0,0,0,0,0,0,0
208,4 wins.,4,0,0,0,0,0,0,0,0,0
209,4 nominations.,0,4,0,0,0,0,0,0,0,0
210,5 wins.,5,0,0,0,0,0,0,0,0,0
211,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
212,3 wins.,3,0,0,0,0,0,0,0,0,0
213,1 nomination.,0,1,0,0,0,0,0,0,0,0
214,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
215,Nominated for 1 Oscar. Another 11 wins & 24 nominations.,11,25,0,1,0,0,0,0,0,0
216,1 win.,1,0,0,0,0,0,0,0,0,0
217,3 nominations.,0,3,0,0,0,0,0,0,0,0
218,1 nomination.,0,1,0,0,0,0,0,0,0,0
219,1 nomination.,0,1,0,0,0,0,0,0,0,0
220,21 nominations.,0,21,0,0,0,0,0,0,0,0
221,4 nominations.,0,4,0,0,0,0,0,0,0,0
222,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
223,1 win.,1,0,0,0,0,0,0,0,0,0
224,7 wins & 9 nominations.,7,9,0,0,0,0,0,0,0,0
225,1 win.,1,0,0,0,0,0,0,0,0,0
226,3 wins & 32 nominations.,3,32,0,0,0,0,0,0,0,0
227,1 win.,1,0,0,0,0,0,0,0,0,0
228,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
229,4 wins & 6 nominations.,4,6,0,0,0,0,0,0,0,0
230,2 wins.,2,0,0,0,0,0,0,0,0,0
231,4 nominations.,0,4,0,0,0,0,0,0,0,0
232,1 win.,1,0,0,0,0,0,0,0,0,0
233,2 wins.,2,0,0,0,0,0,0,0,0,0
234,2 nominations.,0,2,0,0,0,0,0,0,0,0
235,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,0
236,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
237,2 nominations.,0,2,0,0,0,0,0,0,0,0
238,1 win.,1,0,0,0,0,0,0,0,0,0
239,2 nominations.,0,2,0,0,0,0,0,0,0,0
240,1 nomination.,0,1,0,0,0,0,0,0,0,0
241,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
242,Won 6 Golden Globes. Another 80 wins & 310 nominations.,86,310,0,0,0,0,0,0,6,0
243,18 wins & 7 nominations.,18,7,0,0,0,0,0,0,0,0
244,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
245,Nominated for 3 Golden Globes. Another 3 wins & 23 nominations.,3,26,0,0,3,0,0,0,0,0
246,1 nomination.,0,1,0,0,0,0,0,0,0,0
247,1 win.,1,0,0,0,0,0,0,0,0,0
248,3 wins.,3,0,0,0,0,0,0,0,0,0
249,5 wins & 25 nominations.,5,25,0,0,0,0,0,0,0,0
250,3 wins.,3,0,0,0,0,0,0,0,0,0
251,1 nomination.,0,1,0,0,0,0,0,0,0,0
252,1 nomination.,0,1,0,0,0,0,0,0,0,0
253,1 nomination.,0,1,0,0,0,0,0,0,0,0
254,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
255,11 wins.,11,0,0,0,0,0,0,0,0,0
256,1 nomination.,0,1,0,0,0,0,0,0,0,0
257,2 nominations.,0,2,0,0,0,0,0,0,0,0
258,1 nomination.,0,1,0,0,0,0,0,0,0,0
259,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
260,2 wins.,2,0,0,0,0,0,0,0,0,0
261,1 nomination.,0,1,0,0,0,0,0,0,0,0
262,1 nomination.,0,1,0,0,0,0,0,0,0,0
263,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
264,3 nominations.,0,3,0,0,0,0,0,0,0,0
265,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
266,2 wins.,2,0,0,0,0,0,0,0,0,0
267,6 wins & 1 nomination.,6,1,0,0,0,0,0,0,0,0
268,1 win.,1,0,0,0,0,0,0,0,0,0
269,5 wins & 9 nominations.,5,9,0,0,0,0,0,0,0,0
270,5 wins & 7 nominations.,5,7,0,0,0,0,0,0,0,0
271,1 win.,1,0,0,0,0,0,0,0,0,0
272,4 wins & 5 nominations.,4,5,0,0,0,0,0,0,0,0
273,4 nominations.,0,4,0,0,0,0,0,0,0,0
274,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
275,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
276,1 win.,1,0,0,0,0,0,0,0,0,0
277,1 win.,1,0,0,0,0,0,0,0,0,0
278,4 wins.,4,0,0,0,0,0,0,0,0,0
279,1 nomination.,0,1,0,0,0,0,0,0,0,0
280,1 win.,1,0,0,0,0,0,0,0,0,0
281,1 nomination.,0,1,0,0,0,0,0,0,0,0
282,2 nominations.,0,2,0,0,0,0,0,0,0,0
283,36 wins & 20 nominations.,36,20,0,0,0,0,0,0,0,0
284,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
285,12 nominations.,0,12,0,0,0,0,0,0,0,0
286,1 win.,1,0,0,0,0,0,0,0,0,0
287,3 nominations.,0,3,0,0,0,0,0,0,0,0
288,5 wins & 6 nominations.,5,6,0,0,0,0,0,0,0,0
289,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
290,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
291,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
292,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
293,1 win.,1,0,0,0,0,0,0,0,0,0
294,2 wins & 19 nominations.,2,19,0,0,0,0,0,0,0,0
295,4 nominations.,0,4,0,0,0,0,0,0,0,0
296,Nominated for 2 Oscars. Another 23 wins & 99 nominations.,23,101,0,2,0,0,0,0,0,0
297,1 nomination.,0,1,0,0,0,0,0,0,0,0
298,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0
299,1 win.,1,0,0,0,0,0,0,0,0,0
300,1 win.,1,0,0,0,0,0,0,0,0,0
301,10 wins & 24 nominations.,10,24,0,0,0,0,0,0,0,0
302,1 nomination.,0,1,0,0,0,0,0,0,0,0
303,26 wins & 18 nominations.,26,18,0,0,0,0,0,0,0,0
304,1 nomination.,0,1,0,0,0,0,0,0,0,0
305,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
306,2 nominations.,0,2,0,0,0,0,0,0,0,0
307,Nominated for 5 Oscars. Another 26 wins & 88 nominations.,26,93,0,5,0,0,0,0,0,0
308,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
309,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
310,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
311,3 nominations.,0,3,0,0,0,0,0,0,0,0
312,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
313,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
314,1 nomination.,0,1,0,0,0,0,0,0,0,0
315,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,2,5,0,1,0,0,0,0,0,0
316,1 win.,1,0,0,0,0,0,0,0,0,0
317,5 nominations.,0,5,0,0,0,0,0,0,0,0
318,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
319,1 nomination.,0,1,0,0,0,0,0,0,0,0
320,4 nominations.,0,4,0,0,0,0,0,0,0,0
321,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
322,1 nomination.,0,1,0,0,0,0,0,0,0,0
323,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
324,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
325,2 wins.,2,0,0,0,0,0,0,0,0,0
326,1 nomination.,0,1,0,0,0,0,0,0,0,0
327,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0
328,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
329,1 nomination.,0,1,0,0,0,0,0,0,0,0
330,Nominated for 1 Oscar. Another 2 wins & 14 nominations.,2,15,0,1,0,0,0,0,0,0
331,28 wins & 16 nominations.,28,16,0,0,0,0,0,0,0,0
332,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
333,1 win.,1,0,0,0,0,0,0,0,0,0
334,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
335,Won 1 Golden Globe. Another 10 wins & 57 nominations.,11,57,0,0,0,0,0,0,1,0
336,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
337,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
338,1 win.,1,0,0,0,0,0,0,0,0,0
339,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
340,8 wins & 6 nominations.,8,6,0,0,0,0,0,0,0,0
341,1 win.,1,0,0,0,0,0,0,0,0,0
342,2 wins.,2,0,0,0,0,0,0,0,0,0
343,1 win.,1,0,0,0,0,0,0,0,0,0
344,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0,0
345,1 nomination.,0,1,0,0,0,0,0,0,0,0
346,2 nominations.,0,2,0,0,0,0,0,0,0,0
347,3 wins.,3,0,0,0,0,0,0,0,0,0
348,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
349,3 wins.,3,0,0,0,0,0,0,0,0,0
350,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
351,2 wins & 17 nominations.,2,17,0,0,0,0,0,0,0,0
352,1 win.,1,0,0,0,0,0,0,0,0,0
353,6 wins & 4 nominations.,6,4,0,0,0,0,0,0,0,0
354,1 win.,1,0,0,0,0,0,0,0,0,0
355,1 nomination.,0,1,0,0,0,0,0,0,0,0
356,1 nomination.,0,1,0,0,0,0,0,0,0,0
357,2 wins & 10 nominations.,2,10,0,0,0,0,0,0,0,0
358,26 wins & 24 nominations.,26,24,0,0,0,0,0,0,0,0
359,1 win.,1,0,0,0,0,0,0,0,0,0
360,1 win.,1,0,0,0,0,0,0,0,0,0
361,2 nominations.,0,2,0,0,0,0,0,0,0,0
362,1 nomination.,0,1,0,0,0,0,0,0,0,0
363,1 win.,1,0,0,0,0,0,0,0,0,0
364,1 win.,1,0,0,0,0,0,0,0,0,0
365,1 win.,1,0,0,0,0,0,0,0,0,0
366,Won 1 Primetime Emmy. Another 3 wins & 3 nominations.,4,3,0,0,0,0,1,0,0,0
367,2 wins.,2,0,0,0,0,0,0,0,0,0
368,1 win.,1,0,0,0,0,0,0,0,0,0
369,2 nominations.,0,2,0,0,0,0,0,0,0,0
370,2 wins.,2,0,0,0,0,0,0,0,0,0
371,3 nominations.,0,3,0,0,0,0,0,0,0,0
372,Nominated for 1 Oscar. Another 5 wins & 1 nomination.,5,2,0,1,0,0,0,0,0,0
373,Nominated for 1 Oscar. Another 1 win.,1,1,0,1,0,0,0,0,0,0
374,2 nominations.,0,2,0,0,0,0,0,0,0,0
375,2 wins.,2,0,0,0,0,0,0,0,0,0
376,1 win.,1,0,0,0,0,0,0,0,0,0
377,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
378,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
379,3 wins.,3,0,0,0,0,0,0,0,0,0
380,2 wins.,2,0,0,0,0,0,0,0,0,0
381,1 nomination.,0,1,0,0,0,0,0,0,0,0
382,1 nomination.,0,1,0,0,0,0,0,0,0,0
383,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
384,1 nomination.,0,1,0,0,0,0,0,0,0,0
385,1 nomination.,0,1,0,0,0,0,0,0,0,0
386,5 nominations.,0,5,0,0,0,0,0,0,0,0
387,1 win.,1,0,0,0,0,0,0,0,0,0
388,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
389,1 nomination.,0,1,0,0,0,0,0,0,0,0
390,Won 6 Oscars. Another 48 wins & 28 nominations.,54,28,0,0,0,0,0,6,0,0
391,12 wins & 20 nominations.,12,20,0,0,0,0,0,0,0,0
392,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0
393,2 nominations.,0,2,0,0,0,0,0,0,0,0
394,Nominated for 2 Golden Globes. Another 1 win & 4 nominations.,1,6,0,0,2,0,0,0,0,0
395,4 wins & 12 nominations.,4,12,0,0,0,0,0,0,0,0
396,Nominated for 4 Oscars. Another 28 wins & 116 nominations.,28,120,0,4,0,0,0,0,0,0
397,Won 1 Oscar. Another 7 wins & 29 nominations.,8,29,0,0,0,0,0,1,0,0
398,Nominated for 2 Oscars. Another 25 wins & 58 nominations.,25,60,0,2,0,0,0,0,0,0
399,1 win.,1,0,0,0,0,0,0,0,0,0
400,2 nominations.,0,2,0,0,0,0,0,0,0,0
401,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
402,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
403,6 wins & 10 nominations.,6,10,0,0,0,0,0,0,0,0
404,Won 1 Golden Globe. Another 5 wins & 17 nominations.,6,17,0,0,0,0,0,0,1,0
405,1 nomination.,0,1,0,0,0,0,0,0,0,0
406,2 wins.,2,0,0,0,0,0,0,0,0,0
407,1 win.,1,0,0,0,0,0,0,0,0,0
408,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
409,1 nomination.,0,1,0,0,0,0,0,0,0,0
410,1 win.,1,0,0,0,0,0,0,0,0,0
411,Nominated for 3 Golden Globes. Another 1 win & 25 nominations.,1,28,0,0,3,0,0,0,0,0
412,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
413,3 wins.,3,0,0,0,0,0,0,0,0,0
414,1 nomination.,0,1,0,0,0,0,0,0,0,0
415,2 nominations.,0,2,0,0,0,0,0,0,0,0
416,5 wins & 1 nomination.,5,1,0,0,0,0,0,0,0,0
417,1 win.,1,0,0,0,0,0,0,0,0,0
418,7 nominations.,0,7,0,0,0,0,0,0,0,0
419,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
420,1 win.,1,0,0,0,0,0,0,0,0,0
421,2 nominations.,0,2,0,0,0,0,0,0,0,0
422,2 nominations.,0,2,0,0,0,0,0,0,0,0
423,1 nomination.,0,1,0,0,0,0,0,0,0,0
424,4 nominations.,0,4,0,0,0,0,0,0,0,0
425,Nominated for 1 Primetime Emmy. Another 4 wins & 17 nominations.,4,18,1,0,0,0,0,0,0,0
426,1 nomination.,0,1,0,0,0,0,0,0,0,0
427,2 wins & 10 nominations.,2,10,0,0,0,0,0,0,0,0
428,1 nomination.,0,1,0,0,0,0,0,0,0,0
429,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
430,2 wins & 8 nominations.,2,8,0,0,0,0,0,0,0,0
431,1 nomination.,0,1,0,0,0,0,0,0,0,0
432,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
433,3 wins & 10 nominations.,3,10,0,0,0,0,0,0,0,0
434,Nominated for 2 Primetime Emmys. Another 8 wins & 14 nominations.,8,16,2,0,0,0,0,0,0,0
435,1 win.,1,0,0,0,0,0,0,0,0,0
436,1 nomination.,0,1,0,0,0,0,0,0,0,0
437,4 wins & 9 nominations.,4,9,0,0,0,0,0,0,0,0
438,1 win.,1,0,0,0,0,0,0,0,0,0
439,3 nominations.,0,3,0,0,0,0,0,0,0,0
440,1 nomination.,0,1,0,0,0,0,0,0,0,0
441,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
442,7 wins & 8 nominations.,7,8,0,0,0,0,0,0,0,0
443,1 nomination.,0,1,0,0,0,0,0,0,0,0
444,1 win.,1,0,0,0,0,0,0,0,0,0
445,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
446,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
447,1 nomination.,0,1,0,0,0,0,0,0,0,0
448,1 nomination.,0,1,0,0,0,0,0,0,0,0
449,1 win.,1,0,0,0,0,0,0,0,0,0
450,11 wins & 6 nominations.,11,6,0,0,0,0,0,0,0,0
451,1 win.,1,0,0,0,0,0,0,0,0,0
452,1 nomination.,0,1,0,0,0,0,0,0,0,0
453,1 nomination.,0,1,0,0,0,0,0,0,0,0
454,8 wins & 17 nominations.,8,17,0,0,0,0,0,0,0,0
455,1 win.,1,0,0,0,0,0,0,0,0,0
456,4 nominations.,0,4,0,0,0,0,0,0,0,0
457,1 win & 12 nominations.,1,12,0,0,0,0,0,0,0,0
458,1 nomination.,0,1,0,0,0,0,0,0,0,0
459,6 nominations.,0,6,0,0,0,0,0,0,0,0
460,9 nominations.,0,9,0,0,0,0,0,0,0,0
461,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
462,1 nomination.,0,1,0,0,0,0,0,0,0,0
463,1 nomination.,0,1,0,0,0,0,0,0,0,0
464,Nominated for 1 Primetime Emmy. Another 1 win & 2 nominations.,1,3,1,0,0,0,0,0,0,0
465,3 nominations.,0,3,0,0,0,0,0,0,0,0
466,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
467,1 nomination.,0,1,0,0,0,0,0,0,0,0
468,5 wins & 11 nominations.,5,11,0,0,0,0,0,0,0,0
469,3 wins & 11 nominations.,3,11,0,0,0,0,0,0,0,0
470,4 wins & 7 nominations.,4,7,0,0,0,0,0,0,0,0
471,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
472,1 nomination.,0,1,0,0,0,0,0,0,0,0
473,6 wins & 11 nominations.,6,11,0,0,0,0,0,0,0,0
474,1 win.,1,0,0,0,0,0,0,0,0,0
475,1 win.,1,0,0,0,0,0,0,0,0,0
476,1 nomination.,0,1,0,0,0,0,0,0,0,0
477,1 nomination.,0,1,0,0,0,0,0,0,0,0
478,4 wins.,4,0,0,0,0,0,0,0,0,0
479,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
480,5 nominations.,0,5,0,0,0,0,0,0,0,0
481,1 nomination.,0,1,0,0,0,0,0,0,0,0
482,1 nomination.,0,1,0,0,0,0,0,0,0,0
483,1 win.,1,0,0,0,0,0,0,0,0,0
484,4 nominations.,0,4,0,0,0,0,0,0,0,0
485,1 win.,1,0,0,0,0,0,0,0,0,0
486,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
487,1 nomination.,0,1,0,0,0,0,0,0,0,0
488,1 win.,1,0,0,0,0,0,0,0,0,0
489,1 nomination.,0,1,0,0,0,0,0,0,0,0
490,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
491,2 wins.,2,0,0,0,0,0,0,0,0,0
492,3 nominations.,0,3,0,0,0,0,0,0,0,0
493,1 nomination.,0,1,0,0,0,0,0,0,0,0
494,4 nominations.,0,4,0,0,0,0,0,0,0,0
495,5 nominations.,0,5,0,0,0,0,0,0,0,0
496,1 nomination.,0,1,0,0,0,0,0,0,0,0
497,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
498,Nominated for 1 Oscar. Another 7 wins & 42 nominations.,7,43,0,1,0,0,0,0,0,0
499,Nominated for 1 Oscar. Another 34 wins & 75 nominations.,34,76,0,1,0,0,0,0,0,0
500,Won 3 Oscars. Another 92 wins & 150 nominations.,95,150,0,0,0,0,0,3,0,0
501,1 win.,1,0,0,0,0,0,0,0,0,0
502,Nominated for 3 Oscars. Another 46 wins & 87 nominations.,46,90,0,3,0,0,0,0,0,0
503,1 nomination.,0,1,0,0,0,0,0,0,0,0
504,20 wins & 35 nominations.,20,35,0,0,0,0,0,0,0,0
505,11 wins & 21 nominations.,11,21,0,0,0,0,0,0,0,0
506,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
507,Nominated for 3 Oscars. Another 34 wins & 88 nominations.,34,91,0,3,0,0,0,0,0,0
508,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
509,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
510,22 wins & 68 nominations.,22,68,0,0,0,0,0,0,0,0
511,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
512,32 wins & 86 nominations.,32,86,0,0,0,0,0,0,0,0
513,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
514,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
515,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
516,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
517,8 wins & 19 nominations.,8,19,0,0,0,0,0,0,0,0
518,1 win & 12 nominations.,1,12,0,0,0,0,0,0,0,0
519,1 nomination.,0,1,0,0,0,0,0,0,0,0
520,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
521,Nominated for 1 Oscar. Another 13 wins & 26 nominations.,13,27,0,1,0,0,0,0,0,0
522,11 wins & 62 nominations.,11,62,0,0,0,0,0,0,0,0
523,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
524,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
525,1 win.,1,0,0,0,0,0,0,0,0,0
526,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
527,2 nominations.,0,2,0,0,0,0,0,0,0,0
528,5 wins & 6 nominations.,5,6,0,0,0,0,0,0,0,0
529,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
530,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
531,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
532,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
533,1 win.,1,0,0,0,0,0,0,0,0,0
534,1 nomination.,0,1,0,0,0,0,0,0,0,0
535,1 nomination.,0,1,0,0,0,0,0,0,0,0
536,2 nominations.,0,2,0,0,0,0,0,0,0,0
537,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
538,7 wins & 12 nominations.,7,12,0,0,0,0,0,0,0,0
539,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
540,1 nomination.,0,1,0,0,0,0,0,0,0,0
541,3 wins & 9 nominations.,3,9,0,0,0,0,0,0,0,0
542,4 nominations.,0,4,0,0,0,0,0,0,0,0
543,1 nomination.,0,1,0,0,0,0,0,0,0,0
544,1 nomination.,0,1,0,0,0,0,0,0,0,0
545,1 win.,1,0,0,0,0,0,0,0,0,0
546,3 nominations.,0,3,0,0,0,0,0,0,0,0
547,2 nominations.,0,2,0,0,0,0,0,0,0,0
548,Nominated for 2 Primetime Emmys. Another 1 win & 1 nomination.,1,3,2,0,0,0,0,0,0,0
549,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
550,9 wins & 2 nominations.,9,2,0,0,0,0,0,0,0,0
551,Won 1 Primetime Emmy. Another 2 wins & 20 nominations.,3,20,0,0,0,0,1,0,0,0
552,2 wins.,2,0,0,0,0,0,0,0,0,0
553,1 nomination.,0,1,0,0,0,0,0,0,0,0
