Name,City,Country Code,Days,Start,End
bab korean fusion washington,Washington,US,0,1100,2100
bab korean fusion washington,Washington,US,1,1100,2100
bab korean fusion washington,Washington,US,2,1100,2100
bab korean fusion washington,Washington,US,3,1100,2100
bab korean fusion washington,Washington,US,4,1100,0000
bab korean fusion washington,Washington,US,5,1100,0000
