asterisk,list_name,author,display_name,book_review_link,isbn10,description,publisher,rank,price,published_date,sunday_review_link,ranks_last_week,weeks_on_list,contributor,contributor_note,primary_isbn10,article_chapter_link,dagger,age_group,isbn13,primary_isbn13,title,bestsellers_date,first_chapter_link
,,John Allen Paulos,,,0465054811,,,,0,,https://www.nytimes.com/2003/11/02/books/soaked.html,,,,,,,,,9780465054817,,A Mathematician Plays The Stock Market,,
,,John Allen Paulos,,,038548254X,,,,0,,https://www.nytimes.com/1995/10/29/books/new-hope-for-the-innumerate.html,,,,,,,,,9780385482547,,A Mathematician Reads the Newspaper,,
0,E-Book Fiction,Nora Roberts,E-Book Fiction,,,,InterMix,13,0,2015-10-04,,,0,by Nora Roberts,,None,,0,,,9781101631065,A MATTER OF CHOICE,2015-09-19,
,,Jeffrey Archer,,,1429954027,Nazi intrigue and a family secret that could change the course of the cold war.,St. Martin’s Press,,0,,,,,by Jeffrey Archer,,,,,,9781429954020,,A MATTER OF HONOR,,
,,Charles Todd,,,,,William Morrow,,0,,,,,by Charles Todd,,,,,,,,A MATTER OF JUSTICE,,
,,Ronald Dworkin,,,0674554612,,,,0,,https://www.nytimes.com/1985/06/09/books/rights-vs-goals.html,,,,,,,,,9780674554610,,A Matter of Principle,,
,,Shashi Deshpande,,,1558612645,,,,0,,https://www.nytimes.com/1999/08/08/books/books-in-brief-fiction-836923.html,,,,,,,,,9781558612648,,A Matter of Time,,
,,Linda Lael Miller,,,,,HQN,,0,,,,,by Linda Lael Miller,,,,,,,,A MCKETTRICK CHRISTMAS,,
,,Andrew Todhunter,,,0385720203,,,,0,,https://www.nytimes.com/2004/04/11/books/books-in-brief-nonfiction-070629.html,,,,,,,,,9780385720205,,A Meal Observed,,
,,Richard Snow,,,1416595074,America in the fight for the Atlantic during World War II.,Simon & Schuster,,0,,,,,by Richard Snow,,,,,,9781416595076,,A MEASURELESS PERIL,,
,,Cesar Millan with Melissa Jo Peltier,,,,"Tips for integrating your dog into your household, from the host of “Dog Whisperer” on the National Geographic Channel.",Harmony,,0,,,,,by Cesar Millan with Melissa Jo Peltier,,,,,,,,A MEMBER OF THE FAMILY,,
0,Hardcover Fiction,Robert Jordan and Brandon Sanderson,Hardcover Fiction,,0765364883,The 14th and final novel in the Wheel of Time fantasy series.,Tor Fantasy/Tom Doherty,12,0,2013-03-31,,,10,by Robert Jordan and Brandon Sanderson,,0765325950,,0,,9780765364883,9780765325952,A MEMORY OF LIGHT,2013-03-16,
0,E-Book Fiction,Hazel Gaynor,E-Book Fiction,,0062316907,,Morrow,19,0,2015-07-12,,,0,by Hazel Gaynor,,0062316907,,0,,9780062316905,9780062316905,A MEMORY OF VIOLETS,2015-06-27,
,,Frederick Busch,,,0345460510,,,,0,,https://www.nytimes.com/2003/02/16/books/the-combat-continues.html,,,,,,,,,9780345460516,,A Memory of War (Ballantine Reader's Circle),,
,,Toni Morrison,,https://www.nytimes.com/2008/11/04/books/04kaku.html,0307276767,"In 17th-century America, a slave mother urges a Northern farmer to buy her daughter so that she can have a better life.",Knopf,,23.95,,https://www.nytimes.com/2008/11/30/books/review/Gates-t.html,,,by Toni Morrison,,,,,,9780307276766,,A MERCY,,https://www.nytimes.com/2008/11/30/books/chapter-a-mercy.html
0,E-Book Nonfiction,Retha and Aldo McPherson,E-Book Nonfiction,,,The revelatory near-death experiences of a 12-year-old who fell into a coma after a car accident. First published in 2008.,Destiny Image,15,0,2013-08-11,,,1,by Retha and Aldo McPherson,,None,,0,,,9780768496741,A MESSAGE FROM GOD,2013-07-27,
,,William Wharton,,,1557042578,,,,0,,https://www.nytimes.com/1982/09/12/books/young-at-war.html,,,,,,,,,9781557042576,,A Midnight Clear: A Novel,,
,,Sheryl Feldman,,,1905177046,,,,0,,https://www.nytimes.com/1986/11/23/books/birth-without-doctors.html,,,,,,,,,9781905177042,,A Midwife's Story,,
0,Mass Market Paperback,Sofie Kelly,Paperback Mass-Market Fiction,,0451414713,,Signet,11,0,2014-10-26,,,0,by Sofie Kelly,,0451414713,,0,,9780451414717,9780451414717,A MIDWINTER'S TAIL,2014-10-11,
,,David Weber,,,076531505X,"Book 4 of the Safehold series, which translates the bloody religious wars of 17th-century Europe to a future civilization on the planet Safehold.",Tor/Tom Doherty,,0,,,,,by David Weber,,,,,,9780765315052,,A MIGHTY FORTRESS,,
0,Race and Civil Rights,Carlotta Walls Lanier,Race and Civil Rights,,034551100X,"The memoir of the youngest of the Little Rock Nine, who integrated Little Rock Central High School in 1951.",One World/Ballantine,10,0,2015-06-14,,,0,by Carlotta Walls Lanier,,0345511018,,0,,9780345511003,9780345511010,A MIGHTY LONG WAY,2015-05-30,
,,John Brandon,,https://www.nytimes.com/2012/07/18/books/a-million-heavens-by-john-brandon-set-in-new-mexico.html,1936365731,,,,0,,https://www.nytimes.com/2012/08/05/books/review/a-million-heavens-by-john-brandon.html,,,,,,,,,9781936365739,,A Million Heavens (McSweeney's Rectangulars),,
,,James Frey,,https://www.nytimes.com/2003/04/21/books/books-of-the-times-cry-and-you-cry-alone-not-if-you-write-about-it.html,0307276902,Both author and publisher acknowledge that this addiction memoir contains numerous fabrications.,Knopf Doubleday,,0,,https://www.nytimes.com/2003/06/08/books/step-13-write-a-book.html,,,by James Frey,,,,,,9780307276902,,A MILLION LITTLE PIECES,,
,,Donald Miller,,,,,Thomas Nelson,,0,,,,,by Donald Miller,,,,,,,,A MILLION MILES IN A THOUSAND YEARS,,
,,Susan Straight,,,140009559X,,,,0,,https://www.nytimes.com/2006/03/19/books/review/19marshall.html,,,,,,,,,9781400095599,,A Million Nightingales,,
,,Beth Revis,,,159514398X,Elder and Amy race to discover the truth behind life on the spaceship Godspeed.,Razorbill,,17.99,,,,,by Beth Revis,,,,,Ages 12 and up,9781595143983,,A MILLION SUNS,,
,,Susanne Antonetta,,,1585425184,,,,0,,https://www.nytimes.com/2006/01/29/books/review/29morrice.html,,,,,,,,,9781585425181,,A Mind Apart: Travels in a Neurodiverse World,,
,,C S Lewis and Clyde Kil,,,,"Quotations from the work of the scholar, novelist and Christian thinker, arranged to illuminate important themes.",Houghton Mifflin Harcourt,,0,,,,,by C. S. Lewis and Clyde Kilby,,,,,,,,A MIND AWAKE,,
,,Barbara Oakley,,,039916524X,,Tarcher/Penguin,,0,,,,,by Barbara Oakley,,,,,,9780399165245,,A MIND FOR NUMBERS,,
,,Elisabeth Maxwell,,,0060171049,,,,0,,https://www.nytimes.com/1995/01/01/books/a-match-for-robert-maxwell.html,,,,,,,,,9780060171049,,A Mind of My Own: My Life With Robert Maxwell,,
,,Kelly Brogan with Kristin Loberg,,,0062405594,A doctor's  30-day plan for relieving depression without the use of drugs.,HarperCollins,,0,,,,,by Kelly Brogan with Kristin Loberg,,,,,,9780062405593,,A MIND OF YOUR OWN,,
,,PD James,,,0743219589,Adam Dalgliesh of Scotland Yard investigates a murder an an upscale psychiatric clinic.Originally published in 1963.,Touchstone,,0,,,,,by P.D. James,,,,,,9780743219587,,A MIND TO MURDER,,
,,Russell Fraser,,,1412814472,,,,0,,https://www.nytimes.com/1981/12/13/books/good-poet-best-critic.html,,,,,,,,,9781412814478,,A Mingled Yarn: The Life of R. P. Blackmur,,
,,Michael Chabon,,,0060790601,,,,0,,https://www.nytimes.com/1992/03/08/books/new-noteworthy.html,,,,,,,,,9780060790608,,A Model World and Other Stories,,
,,Sheila Gordon,,,0872237729,,,,0,,https://www.nytimes.com/1982/07/25/books/scottish-summers.html,,,,,,,,,9780872237728,,A Modest Harmony: Seven Summers in a Scottish Glen,,
,,John Sayles,,https://www.nytimes.com/2011/06/12/books/review/book-review-a-moment-in-the-sun-by-john-sayles.html,1936365588,,,,0,,https://www.nytimes.com/2011/06/12/books/review/book-review-a-moment-in-the-sun-by-john-sayles.html,,,,,,,,,9781936365586,,A Moment in the Sun,,
,,Laurie Lee,,,1565841735,,,,0,,https://www.nytimes.com/1993/07/25/books/one-poet-s-war.html,,,,,,,,,9781565841734,,A Moment of War: A Memoir of the Spanish Civil War,,
,,Mark Kishlansky,,,0140148272,,,,0,,https://www.nytimes.com/1997/09/21/books/gunpowder-and-beheadings.html,,,,,,,,,9780140148275,,"A Monarchy Transformed: Britain, 1603-1714",,
,,Malachy McCourt,,,0786884142,,,,0,,https://www.nytimes.com/1998/07/05/books/angela-s-second-boy.html,,,,,,,,,9780786884148,,A Monk Swimming A Memoir,,
0,Young Adult Paperback,Patrick Ness,Young Adult Paperback,,0763669083,,Candlewick,5,0,2016-09-25,https://www.nytimes.com/2011/10/16/books/review/it-takes-a-monster-to-learn-how-to-grieve.html,,5,by Patrick Ness. Illustrated by Jim Kay,Illustrated by Jim Kay,0763692158,,0,,9780763669089,9780763692155,A MONSTER CALLS,2016-09-10,
,,Dava Sobel,,https://www.nytimes.com/2011/10/18/science/space/18scibooks.html,0802778941,,,,0,,https://www.nytimes.com/2012/01/08/books/review/a-more-perfect-heaven-how-copernicus-revolutionized-the-cosmos-by-dava-sobel-book-review.html,,,,,,,,,9780802778949,,A More Perfect Heaven: How Copernicus Revolutionized the Cosmos,,
,,Ben Carson with Candy Carson,,,1611764785,A discussion of the Constitution by the candidate for the Republican presidential nomination.,Sentinel,,0,,,,,by Ben Carson with Candy Carson,,,,,,9781611764789,,A MORE PERFECT UNION,,
,,Ilan Stavans and Lalo Alcaraz,,,0465036694,This book offers an alternative look at the history of the United States with a focus on minority groups and some previously overlooked individuals.,Basic Books,,0,,https://www.nytimes.com/2014/07/06/books/review/a-most-imperfect-union-by-ilan-stavans.html,,,by Ilan Stavans and Lalo Alcaraz,,,,,,9780465036691,,A MOST IMPERFECT UNION,,
,,John le Carré,,https://www.nytimes.com/2008/10/07/books/07kaku.html,1416596097,Intelligence agencies converge in Hamburg when a young Muslim man with mysterious connections shows up.,Scribner,,0,,https://www.nytimes.com/2008/10/12/books/review/Furst-t.html,,,by John le Carré,,,https://www.nytimes.com/2008/10/05/books/05lyal.html,,,9781416596097,,A MOST WANTED MAN,,https://www.nytimes.com/2008/10/05/books/chapters/chapter-a-most-wanted-man.html
,,Susan Chira,,,0060930241,,,,0,,https://www.nytimes.com/1999/02/21/books/new-noteworthy-paperbacks-311553.html,,,,,,,,,9780060930240,,A Mother's Place: Choosing Work and Family Without Guilt or Blame,,
0,Combined Print and E-Book Nonfiction,Sue Klebold,Combined Print & E-Book Nonfiction,,1101902752,The mother of one of the Columbine shooters wrestles with her grief and guilt.,Crown,2,0,2016-03-06,https://www.nytimes.com/2016/02/28/books/review/a-mothers-reckoning-by-sue-klebold.html,,1,by Sue Klebold,,1101902752,,0,,9781101902752,9781101902752,A MOTHER'S RECKONING,2016-02-20,
,,Gloria Vanderbilt,,,0679450521,,,,0,,https://www.nytimes.com/1996/05/26/books/letting-go.html,,,,,,,,,9780679450528,,A Mother's Story,,
,,Jay Mathews,,,0805017143,,,,0,,https://www.nytimes.com/1992/09/13/books/in-short-nonfiction-640892.html,,,,,,,,,9780805017144,,A Mother's Touch: The Tiffany Callo Story,,
,,Deborah Fallows,,,0395362180,,,,0,,https://www.nytimes.com/1985/10/27/books/day-care-vs-being-there.html,,,,,,,,,9780395362181,,A Mother's Work,,
,,William Golding,,,0374215731,,,,0,,https://www.nytimes.com/1982/07/11/books/the-supreme-authority-on-himself.html,,,,,,,,,9780374215736,,A Moving Target,,
,,Peter Turchi,,,1595341935,,Trinity University,,0,,,,,by Peter Turchi,,,,,,9781595341938,,A MUSE AND A MAZE,,
,,Arturo Valenzuela,,,0393309851,,,,0,,https://www.nytimes.com/1991/10/20/books/in-the-time-of-the-general.html,,,,,,,,,9780393309850,,A Nation of Enemies: Chile Under Pinochet,,
,,Earl Shorris,,,0393036723,,,,0,,https://www.nytimes.com/1994/11/06/books/the-oversold-society.html,,,,,,,,,9780393036725,,A Nation of Salesmen: The Tyranny of the Market and the Subversion of Culture,,
,,Diane Ackerman,,,0679761837,,,,0,,https://www.nytimes.com/1994/06/26/books/this-crazy-thing-called-love.html,,,,,,,,,9780679761839,,A Natural History Of Love,,
,,Frank Stewart,,,1559632798,,,,0,,https://www.nytimes.com/1995/04/23/books/earth-day-95-a-reader-s-guide.html,,,,,,,,,9781559632799,,A Natural History of Nature Writing,,
,,Carole King,,,1455513652,"A memoir by the songwriter, singer and activist, the subject of a newly opened Broadway musical.",Grand Central,,0,,,,,by Carole King,,,,,,9781455513659,,A NATURAL WOMAN,,
,,Garry Wills,,,0684870266,,,,0,,https://www.nytimes.com/1999/10/31/books/a-more-perfect-union.html,,,,,,,,,9780684870267,,A Necessary Evil: A History of American Distrust of Government,,
,,A. J. Liebling,,,0865474958,,,,0,,https://www.nytimes.com/1990/11/04/books/in-short-nonfiction-292690.html,,,,,,,,,9780865474956,,A Neutral Corner: Boxing Essays,,
,,Eckhart Tolle,,,0525948023,A spiritual teacher prescribes letting go of the ego to help end conflict and suffering.,Plume,,0,,,,,by Eckhart Tolle,,,,,,9780525948025,,A NEW EARTH,,
0,Mass Market Paperback,Ron Carr,Paperback Mass-Market Fiction,,1460382072,"After a man makes a spectacle of himself at his sister's wedding, will he be able to make amends?",Mira,3,0,2015-07-26,,,2,by Robyn Carr,,0778317870,,0,,9781460382073,9780778317876,A NEW HOPE,2015-07-11,
,,Stephen Wolfram,,,1579550088,,,,0,,https://www.nytimes.com/2002/06/09/books/you-know-that-space-time-thing-never-mind.html,,,,,,,,,9781579550080,,A New Kind of Science,,
,,Galway Kinnell,,,0618154450,,,,0,,https://www.nytimes.com/1982/09/19/books/impact-and-triumphant.html,,,,,,,,,9780618154456,,A New Selected Poems,,
,,Carlos Fuentes,,,0374221707,,,,0,,https://www.nytimes.com/1996/08/11/books/betrayed-by-the-revolution.html,,,,,,,,,9780374221706,,A New Time for Mexico,,
,,Amit Chaudhuri,,,037572480X,,,,0,,https://www.nytimes.com/2000/10/22/books/a-life-like-old-postcards.html,,,,,,,,,9780375724800,,A New World: A Novel,,
,,David Roberts,,,0684870215,,,,0,,https://www.nytimes.com/2000/02/27/books/manifest-density.html,,,,,,,,,9780684870212,,A Newer World : Kit Carson John C Fremont And The Claiming Of The American West,,
0,Hardcover Nonfiction,George Will,Hardcover Nonfiction,,0385349327,"A look at the history of the beloved Chicago ballpark, Wrigley Field, at its centennial.",Crown Archetype,20,0,2014-04-27,https://www.nytimes.com/2014/06/29/books/review/george-f-wills-a-nice-little-place-on-the-north-side.html,,0,by George Will,,0385349319,,0,,9780385349321,9780385349314,A NICE LITTLE PLACE ON THE NORTH SIDE,2014-04-12,
,,Julia Quinn,,,0062072919,"Anne Wynter might not be who she says she is, but she’s managing quite well as a governess to three highborn young ladies — until she attracts the attention of a dashing earl.",Avon/HarperCollins,,7.99,,,,,by Julia Quinn,,,,,,9780062072917,,A NIGHT LIKE THIS,,
,,Walter Lord,,,0805077642,This reissue of Lord's classic 1955 you-are-there account of the Titanic's sinking includes an introduction by Nathaniel Philbrick.,Open Road Integrated Media,,0,,,,,by Walter Lord,,,,,,9780805077643,,A NIGHT TO REMEMBER,,
,,Dana Stabenow,,,0312559097,,Minotaur,,0,,,,,by Dana Stabenow,,,,,,9780312559090,,A NIGHT TOO DARK,,
,,Jennifer Donnelly,,,0152053107,,,,0,,https://www.nytimes.com/2003/09/21/books/children-s-books-270237.html,,,,,,,,,9780152053109,,A Northern Light,,
,,Rita Mae Brown,,,0345511816,,Ballantine,,0,,,,,by Rita Mae Brown,,,,,,9780345511812,,A NOSE FOR JUSTICE,,
,,Ali Brandon,,,0425251691,,Berkley,,0,,,,,by Ali Brandon,,,,,,9780425251690,,A NOVEL WAY TO DIE,,
,,Peter Baida,,,1578063183,,,,0,,https://www.nytimes.com/2001/04/15/books/incurable-condition.html,,,,,,,,,9781578063185,,A Nurse's Story and Others,,
,,John Grisham,,,0385337930,,,,0,,https://www.nytimes.com/2001/03/04/books/no-lawyers-allowed.html,,,,,,,,,9780385337939,,A Painted House,,
,,Jonathan Wilson,,,1400031222,,,,0,,https://www.nytimes.com/2003/06/22/books/trouble-in-balfourland.html,,,,,,,,,9781400031221,,A Palestine Affair,,
0,Combined Print and E-Book Fiction,Michelle Gable,Combined Print & E-Book Fiction,,1250067774,A high-end appraiser unpacks the provenance of a Belle Epoque portrait.,St. Martin's Griffin,16,0,2016-01-31,,,0,by Michelle Gable,,1466849622,,0,,9781250067777,9781466849624,A PARIS APARTMENT,2016-01-16,
,,Robert Newton Peck,,,0679886966,,,,0,,https://www.nytimes.com/1994/11/13/books/children-s-books-after-happily-ever-after.html,,,,,,,,,9780679886969,,A Part of the Sky,,
,,Jennifer DuBois,,,0812982177,,,,0,,https://www.nytimes.com/2012/03/18/books/review/jennifer-duboiss-debut-novel.html,,,,,,,,,9780812982176,,A Partial History of Lost Causes: A Novel,,
,,Louis de Bernieres,,,0307389146,,,,0,,https://www.nytimes.com/2008/11/02/books/review/Schillinger-t.html,,,,,,,,,9780307389145,,A Partisan's Daughter (Vintage International),,
0,Advice How-To and Miscellaneous,Robert M Gates,"Advice, How-To & Miscellaneous",,0307959503,The former secretary of defense counters the argument that big bureaucracies are too difficult to improve.,Doubleday,9,0,2016-02-07,,,1,by Robert M. Gates,,030795949X,,0,,9780307959508,9780307959492,A PASSION FOR LEADERSHIP,2016-01-23,
,,Professor Robert Wohl,,,0300057784,,,,0,,https://www.nytimes.com/1994/11/06/books/dancing-on-air.html,,,,,,,,,9780300057782,,"A Passion for Wings: Aviation and the Western Imagination, 1908-1918",,
,,Anne Tyler,,,0970472994,,,,0,,https://www.nytimes.com/1998/04/19/books/odd-jobs.html,,,,,,,,,9780970472991,,A Patchwork Planet (Fawcett Book),,
0,Combined Print and E-Book Nonfiction,Nicholas Kristof and Sheryl WuDunn,Combined Print & E-Book Nonfiction,,0385349912,"Local and global initiatives that promote social progress, and how individuals can contribute.",Knopf,16,0,2014-10-12,https://www.nytimes.com/2014/10/19/books/review/a-path-appears-by-nicholas-kristof-and-sheryl-wudunn.html,,0,by Nicholas Kristof and Sheryl WuDunn,,0385349912,,0,,9780385349918,9780385349918,A PATH APPEARS,2014-09-27,
,,Larry Schweikart and Michael Allen,,,1595230327,"America as a ""city on a hill.""",Sentinel,,0,,,,,by Larry Schweikart and Michael Allen,,,,,,9781595230324,,A PATRIOT'S HISTORY OF THE UNITED STATES,,
,,David Fromkin,,,0805008578,,,,0,,https://www.nytimes.com/1991/02/03/books/new-noteworthy.html,,,,,,,,,9780805008579,,"A Peace to End All Peace: Creating the Modern Middle East, 1914-1922",,
,,Isabel Colegate,,,158243591X,,,,0,,https://www.nytimes.com/2002/04/21/books/the-retiring-kind.html,,,,,,,,,9781582435916,,"A Pelican in the Wilderness: Hermits, Solitaries, and Recluses",,
,,Peter Steinfels,,,0743261445,,,,0,,https://www.nytimes.com/2003/09/07/books/unheavenly-days.html,,,,,,,,,9780743261449,,A People Adrift: The Crisis of the Roman Catholic Church in America,,
,,Alfred Doblin,,,0880640081,,,,0,,https://www.nytimes.com/1983/04/17/books/the-renaissance-of-alfred-doblin.html,,,,,,,,,9780880640084,,A People Betrayed: November 1918: A German Revolution,,
,,Linda Melvern,,,184813245X,,,,0,,https://www.nytimes.com/2001/02/11/books/accessory-to-murder.html,,,,,,,,,9781848132450,,"A People Betrayed: The Role of the West in Rwanda's Genocide, Second",,
,,Stewart Burns,,https://www.nytimes.com/1992/01/08/books/books-of-the-times-the-bill-of-rights-stretching-and-growing.html,0394577639,,,,0,,https://www.nytimes.com/1992/03/15/books/fighting-for-rights.html,,,,,,,,,9780394577630,,A People's Charter: The Pursuit of Rights in America,,
,,Orlando Figes,,,0670859168,,,,0,,https://www.nytimes.com/1997/03/09/books/a-revolution-doomed-from-the-start.html,,,,,,,,,9780670859160,,A People's Tragedy: A History of the Russian Revolution,,
,,Howard Zinn,,,0060528370,"An account from the point of view of women, African-Americans and others who are often marginalized.",Harper Perennial,,0,,,,,by Howard Zinn,,,https://www.nytimes.com/2010/01/28/us/28zinn.html,,,9780060528379,,A PEOPLE’S HISTORY OF THE UNITED STATES,,
,,Kim Harrison,,,0061957909,"With ritually murdered corpses appearing across Cincinnati, the witch turned day-walking demon Rachel Morgan makes a chilling discovery: a group is trying to create its own demons.",Harper Voyager,,0,,,,,by Kim Harrison,,,,,,9780061957901,,A PERFECT BLOOD,,
,,Jenna Weissman Joselit,,,080505488X,,,,0,,https://www.nytimes.com/2001/07/15/books/designing-women.html,,,,,,,,,9780805054880,,"A Perfect Fit: Clothes, Character, and the Promise of America",,
1,Hardcover Fiction,Danielle Steel,Hardcover Fiction,,0345530950,A television anchor's on-air poise belies her unsettled life.,Dell,4,0,2014-08-10,,,1,by Danielle Steel,,0345530942,,0,,9780345530950,9780345530943,A PERFECT LIFE,2014-07-26,
,,Amos Oz,,,0156716836,,,,0,,https://www.nytimes.com/1985/06/02/books/summmer-reading-fiction-that-is-worlds-apart.html,,,,,,,,,9780156716833,,A Perfect Peace,,
0,Combined Print and E-Book Nonfiction,Kathryn Hall and Craig Hall,Combined Print & E-Book Nonfiction,,1455535761,A couple’s experience in building a successful Napa Valley winery.,Center Street,15,0,2016-10-02,,,1,by Kathryn Hall and Craig Hall,,1455535761,,0,,9781455535767,9781455535767,A PERFECT SCORE,2016-09-17,
,,John le Carre,,,0143119761,,,,0,,https://www.nytimes.com/1986/04/13/books/sins-of-the-father.html,,,,,,,,,9780143119760,,A Perfect Spy: A Novel,,
,,Lori Foster,,,1459225651,"To expose a smuggling ring, the bounty hunter Spencer Lark reluctantly agrees to use Arizona Storm, a woman with dark secrets, as a decoy.",HQN,,0,,,,,by Lori Foster,,,,,,9781459225657,,A PERFECT STORM,,
,,Roxana Robinson,,,0812967356,,,,0,,https://www.nytimes.com/2005/05/08/books/review/08BROYARD.html,,,,,,,,,9780812967357,,A Perfect Stranger: And Other Stories,,
0,Combined Print and E-Book Nonfiction,Sarah Jensen with Maynard James Keenan,Combined Print & E-Book Nonfiction,,149508289X,A biography of the lead singer and songwriter of the alternative metal group Tool.,Backbeat,16,0,2016-11-27,,,0,by Sarah Jensen with Maynard James Keenan,,1495024423,,0,,9781495082894,9781495024429,A PERFECT UNION OF CONTRARY THINGS,2016-11-12,
,,Catherine Allgor,,,0805083006,,,,0,,https://www.nytimes.com/2006/05/14/books/review/14norton.html,,,,,,,,,9780805083002,,A Perfect Union: Dolley Madison and the Creation of the American Nation,,
,,Susan Choi,,,0143115022,,,,0,,https://www.nytimes.com/2008/02/17/books/review/Prose-t.html,,,,,,,,,9780143115021,,A Person of Interest: A Novel,,
,,Joseph Nocera,,https://www.nytimes.com/1994/10/10/books/books-of-the-times-once-a-penny-saved-now-a-dollar-charged.html,0671667564,,,,0,,https://www.nytimes.com/1994/10/23/books/where-s-the-money.html,,,,,,,,,9780671667566,,A Piece of the Action : How the Middle Class Joined the Money Class,,
0,Hardcover Fiction,Christina Baker Kline,Hardcover Fiction,,0062356267,Imagining the life of the central figure of Andrew Wyeth’s iconic painting “Christina’s World.”,Morrow/HarperCollins,7,0,2017-03-12,,,1,by Christina Baker Kline,,0062356267,,0,,9780062356260,9780062356260,A PIECE OF THE WORLD,2017-02-25,
,,Meir Shalev,,,0805212140,,,,0,,https://www.nytimes.com/2007/11/25/books/review/Fay-t-2.html,,,,,,,,,9780805212143,,A Pigeon and a Boy: A Novel,,
,,Jimmy Buffett,,,0449005860,,,,0,,https://www.nytimes.com/1998/07/26/books/wastin-away-again.html,,,,,,,,,9780449005866,,A Pirate Looks at Fifty,,
,,Michael Preston,,,0802714250,,,,0,,https://www.nytimes.com/2004/04/18/books/the-highbrow-hijacker.html,,,,,,,,,9780802714251,,"A Pirate of Exquisite Mind: Explorer, Naturalist, and Buccaneer: The Life of William Dampier",,
,,Avi,,,0380724235,,,,0,,https://www.nytimes.com/1981/03/01/books/children-s-books-023766.html,,,,,,,,,9780380724239,,A Place Called Ugly,,
,,Laura Shaine Cunningham,,,1573228788,,,,0,,https://www.nytimes.com/2000/08/13/books/where-the-geese-and-the-cantaloupe-play.html,,,,,,,,,9781573228787,,A Place in the Country,,
,,Hilary Mantel,,,0312426399,,,,0,,https://www.nytimes.com/1993/05/09/books/guillotine-dreams.html,,,,,,,,,9780312426392,,A Place of Greater Safety: A Novel,,
,,Michael Pollan,,,0679415327,,,,0,,https://www.nytimes.com/1997/03/16/books/mr-pollan-builds-his-dream-house.html,,,,,,,,,9780679415329,,A Place of My Own: The Education of an Amateur Builder,,
0,Hardcover Advice,Bethenny Frankel,Hardcover Advice & Misc.,,1439186901,The Bravo star offers 10 rules for getting everything you want.,Touchstone/Simon & Schuster,5,0,2011-04-10,,,1,by Bethenny Frankel,,1439186901,,0,,9781439186909,9781439186909,A PLACE OF YES,2011-03-26,
,,Roger Director,,,0679447873,,,,0,,https://www.nytimes.com/1996/03/24/books/moonlighting.html,,,,,,,,,9780679447870,,A Place to Fall: A Novel,,
,,William Souder,,,0786863609,,,,0,,https://www.nytimes.com/2000/06/04/books/green-monsters.html,,,,,,,,,9780786863600,,A Plague of Frogs : The Horrifying True Story,,
0,Mass Market Paperback,John Lescroart,Paperback Mass-Market Fiction,,0451228324,The San Francisco defense attorney Dismas Hardy must protect the secrets of his client.,Dutton,14,0,2010-07-11,,,4,by John Lescroart,,0451228324,,0,,9780451228321,9780451228321,A PLAGUE OF SECRETS,2010-06-27,
,,Siri Hustvedt,,,0312425538,,,,0,,https://www.nytimes.com/2006/02/19/books/review/19calhoun.html,,,,,,,,,9780312425531,,A Plea for Eros: Essays,,
,,Sebastian Faulks,,,0805097309,,,,0,,https://www.nytimes.com/2013/03/17/books/review/a-possible-life-by-sebastian-faulks.html,,,,,,,,,9780805097306,,A Possible Life: A Novel in Five Parts,,
,,Janna Malamud Smith,,,0618063498,,,,0,,https://www.nytimes.com/2003/03/09/books/always-accountable.html,,,,,,,,,9780618063499,,A Potent Spell: Mother Love and the Power of Fear,,
0,E-Book Fiction,John Irving,E-Book Fiction,,0062204106,A schoolboy who accidentally killed the mother of his best friend turns into a prophet.,HarperCollins,17,0,2012-05-06,,,1,by John Irving,,0062204106,,0,,9780062204103,9780062204103,A PRAYER FOR OWEN MEANY,2012-04-21,
,,Stewart O'Nan,,,031242891X,,,,0,,https://www.nytimes.com/1999/05/02/books/a-good-man-mad.html,,,,,,,,,9780312428914,,A Prayer for the Dying: A Novel,,
,,Mary Balogh,,,,A scandalous romance between an English gentleman and a captivating courtesan; a reissue of a 1993 book.,Dell,,7.99,,,,,by Mary Balogh,,,,,,,,A PRECIOUS JEWEL,,
,,James Bamford,,,140003034X,,,,0,,https://www.nytimes.com/2004/07/25/books/wartime-lies.html,,,,,,,,,9781400030347,,"A Pretext for War: 9/11, Iraq, and the  Abuse of America's Intelligence Agencies",,
,,Naomi Shepherd,,,0674704118,,,,0,,https://www.nytimes.com/1993/11/14/books/disturbers-of-the-peace.html,,,,,,,,,9780674704114,,A Price Below Rubies: Jewish Women as Rebels and Radicals,,
,,Terry Brooks,,,,"The king of Landover wants his princesss daughter to learn responsibility, but she runs away to learn sorcery.",Ballantine,,0,,,,,by Terry Brooks,,,,,,,,A PRINCESS OF LANDOVER,,
0,E-Book Fiction,Jeffrey Archer,E-Book Fiction,,1429934492,"A poor Londoner, framed for murder by four friends, escapes from prison and exacts revenge.",St. Martin's,30,0,2011-08-14,,,0,by Jeffrey Archer,,1429934492,,0,,9781429934497,9781429934497,A PRISONER OF BIRTH,2011-07-30,
,,Lyndall Gordon,,https://www.nytimes.com/1999/04/23/books/books-of-the-times-casting-henry-james-as-an-artistic-cad.html,0393047113,,,,0,,https://www.nytimes.com/1999/05/16/books/borrowed-lives.html,,,,,,,,,9780393047110,,A Private Life of Henry James: Two Women and His Art,,
