asterisk,list_name,author,display_name,book_review_link,isbn10,description,publisher,rank,price,published_date,sunday_review_link,ranks_last_week,weeks_on_list,contributor,contributor_note,primary_isbn10,article_chapter_link,dagger,age_group,isbn13,primary_isbn13,title,bestsellers_date,first_chapter_link
,,Brian Azzarello and Eduaro Risso,,,,"This deluxe edition of the noir series, about a man named Graves who gives wronged people an untraceable gun to exact revenge, collects issues 20 through 36.",DC Comics,,49.99,,,,,by Brian Azzarello and Eduaro Risso,,,,,,,,"100 BULLETS DELUXE, BOOK 1",,
,,Brian Azzarello and Eduardo Risso,,,,"No spoilers! The noir series, about vengeance and violence, reaches its conclusion.",Vertigo,,19.99,,,,,by Brian Azzarello and Eduardo Risso,,,,,,,,"100 BULLETS, VOL. 13",,
,,Brian Azzarello and Eduardo Risso,,,1401232019,"This deluxe edition of the noir series, about a man named Graves who gives wronged people an untraceable gun to exact revenge, collects issues 1 through 19.",DC Comics,,49.99,,,,,by Brian Azzarello and Eduardo Risso,,,,,,9781401232016,,100 BULLETS: BOOK ONE,,
,,Brian Azzarello and Eduardo Risso,,,1401238076,"This deluxe edition of the noir series, about a man named Graves who gives wronged people an untraceable gun to exact revenge, collects issues 59 through 80.",DC Comics,,0,,,,,by Brian Azzarello and Eduardo Risso,,,,,,9781401238070,,"100 BULLETS: DELUXE EDITION, BOOK FOUR",,
,,Brian Azzarello and Edward Risso,,,1401237290,"This deluxe edition of the noir series, about a man named Graves who gives wronged people an untraceable gun to exact revenge, collects issues 37 through 58.",DC Comics,,49.99,,,,,Brian Azzarello and Edward Risso,,,,,,9781401237295,,"100 BULLETS: DELUXE EDITION, BOOK THREE",,
,,Lisa Leake,,,0062324098,"Wholesome, family-friendly recipes that are easy to prepare.",Morrow/HarperCollins,,0,,,,,by Lisa Leake,,,,,,9780062324092,,100 DAYS OF REAL FOOD,,
0,Espionage,Clint Emerson,Espionage,,1501143905,"The SEAL Operative's guide to eluding pursuit, capture and all manner of unseen danger.",Touchstone,1,0,2016-05-15,,,0,by Clint Emerson,,147679605X,,0,,9781501143908,9781476796055,100 DEADLY SKILLS,2016-04-30,
,,Bernard Goldberg,,,0060761288,,,,0,,https://www.nytimes.com/2005/08/28/books/review/28WILLIAM.html,,,,,,,,,9780060761288,,100 People Who Are Screwing Up America (And Al Franken Is #37),,
,,Marcia DeSanctis,,,1609520823,Essays on where and why to go to France.,Travelers' Tales/Solas House,,0,,,,,Marcia DeSanctis,,,,,,9781609520823,,100 PLACES IN FRANCE EVERY WOMAN SHOULD GO,,
,,Cindi Leive and  the Editors of Glamour,,,1401324061,,Hyperion,,0,,,,,by Cindi Leive and  the Editors of Glamour,,,,,,9781401324063,,100 RECIPES EVERY WOMAN SHOULD KNOW,,
,,Joe Garner and Bob Costas,,,0547547986,,Houghton Mifflin Harcourt,,0,,https://www.nytimes.com/2011/12/04/books/review/the-nfls-highlight-reel.html,,,by Joe Garner and Bob Costas,,,,,,9780547547985,,100 YARDS OF GLORY,,
,,Thomas Pavitte,,,1626860653,"A graphic designer known for his 6,239 dot version of the Mona Lisa offers twenty exotic locations for adults to complete as line art.",Thunder Bay,,0,,,,,by Thomas Pavitte,,,,,,9781626860650,,1000 DOT-TO-DOT: CITIES,,
,,Ricardo Cavolo,,,1910620009,"In this illustrated diary, the author catalogs his favorite musicians, like Bach, Nirvana and Daft Punk.",Nobrow Press,,0,,,,,by Ricardo Cavolo,,,,,,9781910620007,,101 ARTISTS TO LISTEN TO BEFORE YOU DIE,,
0,Animals,Kyra Sundance and Chalcy,Animals,,1592533256,"A dog trainer shares advice and activities to engage, challenge and bond with your dog.",Quayside,2,0,2016-03-13,,,0,by Kyra Sundance and Chalcy,,1592533256,,0,,9781592533251,9781592533251,101 DOG TRICKS,2016-02-27,
,,Hallgrimur Helgason,,,0743225147,,,,0,,https://www.nytimes.com/2003/04/27/books/arctic-slackers.html,,,,,,,,,9780743225144,,101 Reykjavik: A Novel,,
,,Stephin Merritt;,,,0393240193,A celebration of the 101 two-letter words allowed in Scrabble.,Norton,,0,,,,,by Stephin Merritt; illustrated by Roz Chast,illustrated by Roz Chast,,,,,9780393240191,,101 TWO-LETTER WORDS,,
,,Jim Dwyer and Kevin Flynn,,,,Two journalists describe people's struggle to survive inside the World Trade Center on Sept. 11.,Holt,,0,,,,,by Jim Dwyer and Kevin Flynn,,,,,,,,102 MINUTES,,
,,Debbie Macomber,,,0778328066,A growing romance in a small town; the 10th Cedar Grove novel.,Mira,,0,,,,,by Debbie Macomber,,,,,,9780778328063,,1022 EVERGREEN PLACE,,
,,James Patterson and Maxine Paetro,,,1455511463,Detective Lindsay Boxer’s long-awaited wedding celebration becomes a distant memory when the Women’s Murder Club is called in to find a missing baby.,Vision,,0,,,,,by James Patterson and Maxine Paetro,,,,,,9781455511464,,10TH ANNIVERSARY,,
,,Joseph Weisberg,,https://www.nytimes.com/2002/02/14/books/books-of-the-times-tales-of-teenage-angst-both-real-and-imagined.html,0375505849,,,,0,,https://www.nytimes.com/2002/02/03/books/a-rec-room-of-one-s-own.html,,,,,,,,,9780375505843,,10th Grade: A Novel,,
0,Mass Market Paperback,Stephen King,Paperback Mass-Market Fiction,https://www.nytimes.com/2011/10/31/books/stephen-kings-11-23-63-review.html,1501120603,An English teacher travels back to 1958 by way of a time portal in a Maine diner. His assignment: Stop Lee Harvey Oswald.,Pocket Books,6,0,2016-02-21,https://www.nytimes.com/2011/11/13/books/review/11-22-63-by-stephen-king-book-review.html,,2,by Stephen King,,1501120603,,0,,9781501120602,9781501120602,11/22/63,2016-02-06,
,,Debbie Macomber,,,0778312518,"Bruce Peyton’s pregnant wife has left him, and he’s not the only one in town with problems; Book 11 of the Cedar Cove series.",Mira,,0,,,,,by Debbie Macomber,,,,,,9780778312512,,1105 YAKIMA STREET,,
,,Jessamyn Fiore,,https://www.nytimes.com/2012/07/26/books/112-greene-street-the-early-years-70s-art-in-soho.html,1934435414,,,,0,,,,,,,,,,,9781934435410,,"112 Greene Street: The Early Years, 1970-1974",,
0,Combined Print and E-Book Fiction,James Patterson with Max DiLallo,Combined Print & E-Book Fiction,,0316361526,"Molly Rourke knows who’s responsible for her son’s murder, and now she’s taking the law into her own hands.",BookShots,13,0,2016-09-25,,,1,by James Patterson with Max DiLallo,,0316361526,,0,,9780316361521,9780316361521,113 MINUTES,2016-09-10,
,,Anne Roiphe,,,0684857324,,,,0,,https://www.nytimes.com/1999/06/06/books/uptown-girl.html,,,,,,,,,9780684857329,,1185 Park Avenue: A Memoir,,
,,James Patterson and Maxine Paetro,,,0446571830,"When a millionaire is gunned down, Detective Lindsay Boxer and the Women's Murder Club discover that the murder weapon is linked to the deaths of four of San Francisco's most untouchable criminals.",Grand Central,,0,,,,,by James Patterson and Maxine Paetro,,,,,,9780446571838,,11TH HOUR,,
,,OKAYADO,,,1626921784,Eita Touga is talented but unambitious ninja. He would rather sit and play video games than take over the family dojo. Until an unexpected visitor takes him to another dimension!,Seven Seas Entertainment,,0,,,,,by OKAYADO,,,,,,9781626921788,,"12 BEAST, VOL. 2",,
0,Manga,OKAYADO,Manga,,1626922616,"Eita Touga, a talented but unambitious ninja, suddenly finds himself in a fantastical realm that is in danger of being invaded.",Seven Seas Entertainment,3,0,2016-03-06,,,1,by OKAYADO,,1626922616,,0,,9781626922617,9781626922617,"12 BEAST, VOL. 3",2016-02-20,
,,Phil Brown,,,0990309002,,North Country Books,,0,,,,,by Phil Brown,,,,,,9780990309000,,12 SHORT HIKES NEAR LAKE PLACID,,
